Latitude,Longitude,Rainfall (mm),Temperature (°C),Humidity (%),River Discharge (m³/s),Water Level (m),Elevation (m),Land Cover,Soil Type,Population Density,Infrastructure,Historical Floods,Flood Occurred
15.56903,75.63639,8.89,29.7,52.9,428.4,2.53,534.1,Urban,Alluvial,6639.9,1,1,0
27.83733,72.14759,6.21,34.0,51.2,115.3,0.2,299.3,Urban,Loam,11037.7,0,1,0
14.82395,77.34306,37.28,29.0,62.8,492.2,1.06,747.5,Forest,Silt,5447.1,1,7,0
22.92107,77.29223,6.52,26.3,43.6,2456.1,4.51,136.7,Agricultural,Loam,9047.4,0,4,0
11.24173,76.07769,224.55,35.2,100.0,6496.9,18.0,81.0,Urban,Sandy,6894.7,1,0,1
20.46329,85.18193,10.93,31.7,36.5,3418.2,8.55,66.3,Urban,Loam,5118.0,0,3,0
21.69159,73.86155,74.66,29.4,58.1,3267.9,9.48,250.8,Wetland,Silt,10011.0,1,1,1
16.23416,76.49694,5.99,22.0,39.9,498.6,1.32,510.4,Forest,Loam,7159.6,1,1,0
26.75405,92.74329,42.68,31.0,60.1,7136.5,16.37,50.4,Forest,Loam,8170.1,1,2,1
25.8467,93.33719,104.51,30.2,95.4,9876.9,18.0,86.2,Agricultural,Clay,8725.4,1,1,1
22.08296,74.46817,79.15,23.3,73.6,3202.9,8.88,103.6,Forest,Loam,5389.4,1,2,1
25.87366,93.2238,23.79,25.2,59.6,3882.3,7.42,94.0,Urban,Clay,5890.8,1,4,0
22.90241,74.68539,39.39,21.9,62.5,1772.3,5.46,137.4,Urban,Alluvial,1573.4,1,7,0
25.96074,92.16042,26.42,32.4,43.9,6119.0,12.75,107.5,Forest,Alluvial,11382.5,0,3,1
20.91626,86.70524,20.29,32.1,41.7,2715.1,7.91,43.0,Urban,Clay,3630.5,1,6,0
26.09025,84.43533,94.34,27.4,62.8,8122.5,17.87,102.2,Agricultural,Alluvial,7982.7,1,7,1
17.99657,79.8772,33.2,30.1,72.5,3282.6,8.65,156.5,Urban,Clay,2387.0,1,2,1
17.63349,81.29902,14.93,32.3,52.7,2579.2,7.99,107.4,Urban,Alluvial,4339.0,0,7,0
28.32985,77.36167,87.89,16.8,65.1,4700.6,12.17,210.6,Agricultural,Alluvial,4327.0,0,5,1
19.31564,75.56536,31.29,37.0,61.3,602.4,0.8,764.8,Agricultural,Clay,9270.1,0,5,0
28.89182,77.74196,72.61,31.0,68.2,4145.8,9.59,224.1,Agricultural,Alluvial,1853.5,0,3,1
10.42756,76.17233,151.78,26.0,94.2,4530.7,13.47,135.0,Agricultural,Loam,612.8,1,1,1
27.90322,73.28202,2.52,27.2,41.9,140.4,0.2,265.0,Agricultural,Alluvial,1791.3,1,3,0
23.19694,73.51752,104.18,27.1,58.5,4018.7,12.64,57.5,Urban,Clay,11144.1,1,1,1
21.77345,76.6633,20.83,28.6,38.7,2516.0,5.51,64.2,Urban,Alluvial,9429.7,1,5,0
29.39672,77.73491,2.41,29.0,44.2,3317.4,7.68,197.8,Forest,Silt,2649.5,0,5,0
29.45531,76.96094,58.36,35.0,69.6,4034.9,10.34,199.1,Agricultural,Clay,11735.3,1,5,1
10.75332,76.40383,4.9,26.5,35.5,1588.9,2.49,10.7,Agricultural,Clay,1546.8,0,3,0
17.22153,81.21299,36.28,30.9,54.3,3376.4,8.9,152.4,Forest,Alluvial,6902.1,1,2,1
19.79388,76.36389,17.67,26.4,55.9,405.3,2.13,464.8,Urban,Sandy,4595.1,1,3,0
18.07454,75.89008,3.99,31.8,42.1,531.1,1.56,751.8,Forest,Silt,11356.1,0,1,0
28.32873,77.55808,22.45,30.3,51.8,2893.5,6.11,219.8,Urban,Sandy,1004.2,0,2,0
20.14148,86.35823,95.73,32.5,70.9,6376.3,14.72,64.9,Urban,Clay,7148.8,1,1,1
20.91318,86.14365,15.08,31.5,48.4,1868.4,4.26,80.3,Urban,Silt,4973.3,1,5,0
17.75132,75.91229,106.18,25.5,74.5,857.8,4.8,678.8,Wetland,Loam,8703.9,1,1,0
20.31066,85.5415,10.24,39.1,20.0,4166.5,7.62,20.8,Forest,Alluvial,9197.7,0,2,0
26.14792,86.04247,48.41,33.9,52.6,6321.0,13.57,77.9,Forest,Clay,3848.7,1,0,1
22.47368,77.83982,24.57,28.4,40.2,2300.3,5.4,300.9,Agricultural,Alluvial,4638.4,0,5,0
27.45494,95.47715,46.58,42.1,62.0,6616.9,15.84,95.9,Water Body,Loam,10147.9,0,5,1
27.95548,73.02621,7.99,26.3,35.7,122.9,1.14,165.7,Urban,Silt,468.2,0,1,0
18.29529,75.09546,0.96,34.6,37.3,509.3,1.81,544.7,Forest,Alluvial,2369.4,1,2,0
20.33647,86.8786,193.67,23.2,100.0,8931.0,18.0,45.2,Urban,Loam,2566.6,1,8,1
25.58437,81.87961,105.86,30.9,53.8,7142.0,18.0,84.1,Water Body,Loam,1150.1,1,1,1
19.15903,75.89219,5.34,24.5,42.9,312.6,0.26,552.0,Wetland,Loam,4456.0,0,2,0
18.09337,77.18288,6.09,25.1,48.8,385.4,0.95,532.1,Urban,Loam,9070.6,0,1,0
16.79709,75.14051,26.34,23.8,60.7,557.7,2.16,603.1,Agricultural,Alluvial,7028.7,0,3,0
19.59286,75.29328,14.26,27.9,57.7,520.2,1.86,558.9,Agricultural,Clay,4536.1,1,0,0
27.83455,74.4367,9.72,24.8,35.9,218.0,0.2,314.8,Agricultural,Sandy,10309.0,0,0,0
20.19231,86.39847,24.81,17.7,41.9,4226.8,9.89,56.4,Forest,Alluvial,7687.6,1,2,1
24.84216,85.45366,71.18,34.8,72.8,6049.3,15.77,71.2,Agricultural,Alluvial,7445.3,0,3,1
17.88748,80.48816,52.44,29.5,61.1,4950.7,11.88,84.7,Agricultural,Loam,5163.8,0,3,1
20.59973,85.13972,99.47,28.5,76.4,5737.6,14.73,39.1,Wetland,Silt,9154.3,1,1,1
25.46427,86.21741,125.26,27.4,78.7,9127.5,18.0,64.6,Urban,Silt,3601.0,0,1,1
18.62629,77.10962,9.5,30.5,45.7,359.0,1.62,602.5,Water Body,Clay,7084.3,1,1,0
10.57117,76.78268,65.51,26.8,49.6,3506.4,10.17,42.7,Agricultural,Clay,10183.9,0,2,1
26.16845,72.385,1.16,25.9,61.9,167.1,0.99,155.4,Urban,Loam,1487.2,1,9,0
28.50851,77.2376,12.83,27.3,24.5,2014.4,5.62,232.8,Wetland,Alluvial,4701.3,1,1,0
10.36303,75.83558,96.97,31.4,76.4,3209.9,10.59,132.9,Urban,Silt,2654.3,0,1,1
26.92384,72.36797,3.57,26.3,22.4,135.5,0.2,335.6,Water Body,Clay,10391.8,1,1,0
28.30818,77.71525,35.02,27.3,29.8,2591.1,5.25,210.2,Forest,Silt,3928.5,1,5,0
27.01849,85.79377,107.38,27.7,86.4,8199.7,18.0,109.8,Forest,Silt,1010.8,0,3,1
28.31817,77.31477,30.85,34.3,76.2,2091.5,3.67,193.2,Urban,Clay,11457.8,1,0,0
28.99594,77.08559,74.61,25.1,68.5,4303.3,11.33,222.7,Agricultural,Loam,11673.2,0,2,1
25.594,70.53823,3.22,32.5,39.4,150.4,1.23,197.4,Agricultural,Clay,3224.1,0,7,0
22.4692,74.06452,13.31,31.3,48.6,1356.1,3.54,295.4,Agricultural,Silt,3859.8,1,9,0
25.75268,92.2207,3.75,20.5,39.4,5034.9,11.07,42.0,Agricultural,Clay,6168.0,0,6,1
15.46188,75.12503,21.64,33.2,52.8,454.6,2.91,500.3,Forest,Loam,6347.7,1,3,0
20.8947,85.97085,97.8,38.0,76.8,5071.8,13.16,65.3,Urban,Clay,7251.6,1,2,1
9.36223,76.65008,112.66,27.7,100.0,3967.2,12.52,57.4,Agricultural,Silt,10394.1,0,0,1
29.40388,77.5982,9.63,26.5,45.2,2385.5,5.91,220.8,Forest,Alluvial,6597.3,0,1,0
14.50339,76.05998,39.77,19.7,44.5,559.6,2.47,620.3,Agricultural,Clay,9786.5,0,2,0
19.92407,86.57641,82.71,25.4,79.6,6434.0,15.62,45.1,Urban,Silt,4008.1,0,1,1
15.63147,77.24585,2.16,23.8,36.5,143.7,0.63,764.7,Urban,Loam,7723.0,0,6,0
28.52527,77.00629,38.69,27.9,40.9,3280.8,7.1,196.8,Forest,Clay,8288.7,1,3,0
23.18778,76.89213,14.37,28.1,40.4,1692.5,3.25,247.1,Urban,Clay,4206.0,1,1,0
11.08432,76.65195,18.32,22.5,36.5,2230.6,5.98,188.2,Urban,Loam,4908.9,1,6,0
29.24389,77.67932,36.4,35.3,56.7,2466.4,5.43,236.9,Urban,Loam,1383.2,1,3,0
27.20101,73.54868,22.94,29.4,53.7,183.3,1.55,325.3,Forest,Alluvial,4992.9,0,1,0
19.31502,76.05424,37.91,33.3,46.5,536.7,2.19,598.5,Wetland,Silt,4899.6,1,7,0
17.57768,80.15217,5.01,28.8,35.4,2064.9,4.07,98.5,Forest,Sandy,4989.5,1,7,0
27.64027,71.38414,46.71,28.8,58.5,228.3,1.82,155.6,Wetland,Loam,2728.6,0,3,0
28.04311,70.78909,8.92,21.5,33.5,124.0,0.2,325.2,Water Body,Loam,8168.8,1,1,0
22.4676,76.08921,44.99,25.9,48.3,2498.9,6.84,226.7,Agricultural,Clay,2017.5,1,3,0
15.84358,77.28124,0.27,31.9,27.8,462.1,1.31,684.5,Agricultural,Sandy,6814.2,1,3,0
25.0949,82.53906,81.93,29.3,83.6,7568.9,17.71,103.2,Urban,Silt,3077.5,1,0,1
9.31284,75.91938,170.46,24.0,81.4,4999.1,15.08,109.7,Forest,Loam,5223.2,1,4,1
21.54087,76.75162,71.53,32.4,60.4,3594.1,8.35,106.8,Agricultural,Silt,9459.6,0,7,1
25.98502,91.16075,8.95,34.0,20.0,4388.6,9.26,140.9,Agricultural,Loam,4468.3,0,3,0
28.41158,72.83809,3.02,34.9,54.1,143.6,0.96,239.2,Forest,Loam,7946.4,0,3,0
29.29553,77.05851,225.21,26.1,100.0,6461.5,18.0,204.2,Agricultural,Silt,5322.3,1,2,1
18.47706,74.99757,21.11,35.6,46.6,464.5,2.23,481.3,Agricultural,Clay,11786.7,1,6,0
27.09617,91.72004,93.79,31.6,74.0,10787.1,18.0,51.4,Agricultural,Alluvial,7267.9,1,2,1
9.57717,76.30983,80.67,25.3,68.0,3156.8,8.2,125.1,Agricultural,Clay,10414.8,0,0,1
25.55976,90.67099,8.41,26.5,30.2,3554.3,8.64,109.0,Forest,Clay,2992.6,1,2,0
26.42104,74.43874,40.56,15.7,73.5,229.3,2.07,304.1,Wetland,Alluvial,9665.0,0,2,0
26.25758,80.50193,34.07,24.5,33.4,4229.7,11.23,102.5,Forest,Alluvial,11653.9,1,1,1
22.7712,74.908,46.75,28.5,62.2,2839.7,7.18,55.4,Forest,Loam,6927.3,1,3,1
26.47851,86.38093,30.74,25.8,62.5,3470.6,8.28,56.1,Water Body,Alluvial,10021.6,1,1,1
23.095,73.72146,4.45,23.1,40.0,2306.3,2.45,252.4,Urban,Sandy,3390.1,1,1,0
21.08523,85.75064,27.13,26.9,53.3,3252.9,7.11,35.0,Agricultural,Alluvial,10686.6,1,3,0
17.27926,80.88058,70.12,25.7,59.4,4690.7,10.91,121.8,Water Body,Clay,2366.4,1,5,1
29.2821,77.46779,84.32,24.4,88.4,4420.4,11.9,223.3,Agricultural,Sandy,557.5,0,0,1
18.60311,74.88214,33.9,32.7,31.2,519.6,1.95,685.5,Urban,Alluvial,10552.2,0,3,0
11.02321,76.05634,242.47,14.7,100.0,6262.9,18.0,186.7,Forest,Loam,3110.0,1,1,1
26.81821,95.3716,48.29,25.1,46.0,8497.3,17.99,66.1,Urban,Sandy,936.8,1,6,1
21.63675,74.28254,40.23,32.9,20.9,3745.8,10.03,117.5,Agricultural,Alluvial,420.0,0,0,1
27.07947,71.76029,17.24,24.0,49.2,121.4,0.68,220.0,Wetland,Silt,3234.8,0,2,0
28.42801,77.31321,154.86,34.3,64.7,5574.9,16.42,211.3,Agricultural,Loam,3619.5,1,0,1
18.89011,76.07824,26.16,29.0,25.9,382.5,1.41,740.3,Agricultural,Alluvial,2765.1,0,2,0
15.8107,75.4251,0.56,30.0,27.1,429.1,2.23,782.5,Agricultural,Sandy,8564.7,1,0,0
10.06059,76.00086,30.6,37.5,54.6,2003.3,4.87,23.9,Agricultural,Clay,6179.3,1,5,0
21.84756,74.6935,30.17,25.5,73.9,2674.1,7.09,111.2,Urban,Alluvial,10584.1,0,0,0
17.64517,81.0724,141.69,21.0,74.8,5761.5,15.87,177.9,Urban,Alluvial,1723.7,0,1,1
22.83522,75.79123,40.67,33.5,68.4,3255.0,8.37,60.1,Agricultural,Silt,8477.6,1,4,1
28.32261,77.22813,27.91,33.1,54.6,2775.6,5.84,239.2,Wetland,Loam,11560.1,1,5,0
15.41334,77.01459,2.01,28.0,58.3,271.5,0.58,567.3,Forest,Clay,2797.4,0,3,0
11.07337,76.50959,43.5,30.0,46.5,4330.9,10.52,79.5,Wetland,Alluvial,9371.3,0,0,1
27.56707,93.18305,33.44,24.4,49.5,6266.3,13.21,62.8,Agricultural,Loam,1676.7,1,2,1
17.64504,81.48209,226.3,38.0,100.0,8326.6,18.0,119.3,Forest,Loam,865.6,1,0,1
26.95351,80.66865,214.08,35.0,100.0,13806.0,18.0,107.3,Agricultural,Alluvial,5323.4,0,5,1
22.18025,77.97027,47.15,28.5,41.2,2612.5,7.03,184.1,Agricultural,Alluvial,1726.1,1,4,0
22.11866,73.80771,297.87,30.6,100.0,7468.1,18.0,280.1,Urban,Loam,8180.2,0,2,1
28.88129,77.71482,21.28,27.8,47.9,2268.2,5.13,238.7,Agricultural,Alluvial,10088.5,0,1,0
21.87237,73.8595,29.73,27.6,68.8,2046.2,3.46,243.2,Forest,Silt,977.3,1,0,0
19.30542,77.38876,92.28,33.1,66.7,868.8,4.54,459.0,Urban,Alluvial,10953.7,1,0,0
23.10125,77.88494,41.11,24.0,34.2,3024.9,7.05,106.3,Agricultural,Clay,11796.4,0,2,0
26.96765,93.15191,113.96,31.7,77.1,8176.0,18.0,65.2,Agricultural,Silt,4291.4,1,3,1
21.79562,76.32576,207.2,21.6,100.0,5079.8,17.17,296.3,Agricultural,Clay,10244.1,1,3,1
15.29018,77.45959,29.51,23.4,46.1,523.1,2.59,761.2,Water Body,Alluvial,4289.3,1,2,0
25.23099,82.12151,86.9,28.6,63.7,7383.0,18.0,40.1,Wetland,Silt,8253.6,1,1,1
17.1554,80.00377,23.4,26.2,27.8,2336.2,5.49,36.4,Wetland,Clay,6456.5,0,2,0
20.39705,84.54937,6.55,27.6,50.1,4787.6,10.47,83.4,Urban,Clay,4175.4,0,5,1
17.96227,75.64801,22.0,21.0,56.3,323.7,1.45,517.2,Water Body,Alluvial,3243.8,1,0,0
25.70095,87.5579,107.14,39.1,76.1,6283.0,15.57,115.5,Wetland,Alluvial,4418.2,1,4,1
20.67807,85.66221,34.2,17.5,48.8,3925.2,8.58,46.0,Water Body,Silt,2708.9,1,1,1
25.68695,94.81811,89.05,27.3,74.4,7939.9,18.0,45.7,Forest,Alluvial,6889.0,1,1,1
22.79416,78.27116,106.11,31.4,70.8,3222.6,10.43,150.3,Agricultural,Alluvial,4842.4,0,3,1
27.00783,74.15684,9.42,21.2,40.7,159.4,0.2,251.2,Urban,Clay,3964.6,1,0,0
27.5574,90.88298,104.57,27.8,67.8,9549.8,18.0,77.8,Water Body,Clay,6436.0,1,7,1
16.44531,82.10328,10.64,33.5,36.2,1988.5,4.41,111.7,Urban,Clay,4314.0,1,6,0
19.99278,85.54094,76.06,25.7,59.1,7640.6,18.0,47.0,Agricultural,Loam,6393.2,1,4,1
9.8322,76.54537,100.78,30.3,74.5,5224.5,14.15,17.3,Forest,Clay,3005.0,1,7,1
10.76317,76.87584,129.12,29.7,86.2,3687.1,12.9,167.7,Urban,Clay,11338.3,1,2,1
16.91052,80.72717,33.47,29.8,35.5,3979.8,8.91,134.3,Urban,Alluvial,7556.1,1,3,1
17.45584,75.5838,22.29,30.5,20.0,539.5,0.66,739.8,Agricultural,Clay,4607.7,0,2,0
25.00462,71.73177,6.0,29.1,28.8,195.8,1.75,205.7,Water Body,Clay,6421.5,1,2,0
20.53882,85.50257,18.26,23.8,38.3,2784.7,5.66,68.2,Agricultural,Loam,9524.7,0,8,0
27.55456,73.4971,7.58,29.1,56.3,192.1,2.01,189.2,Water Body,Alluvial,7075.5,0,3,0
25.35865,87.88875,32.3,21.6,53.4,5520.5,11.73,96.7,Agricultural,Alluvial,8897.4,1,1,1
17.53221,80.75991,143.3,25.5,88.8,6104.8,18.0,87.2,Urban,Loam,1275.5,0,2,1
26.20693,87.85403,6.09,24.1,35.7,3843.0,7.94,65.5,Agricultural,Clay,3617.1,1,0,0
10.90097,76.4655,15.11,26.3,60.1,2232.2,6.35,84.5,Forest,Silt,11083.9,1,2,0
16.24213,80.17674,18.69,39.8,59.1,2944.8,7.14,56.7,Wetland,Loam,10986.9,1,3,0
20.62513,84.9826,40.2,28.6,46.7,3017.6,7.02,23.7,Agricultural,Alluvial,9493.4,0,3,1
16.26258,75.15824,22.41,30.0,28.7,553.2,1.74,734.0,Forest,Alluvial,6224.9,1,3,0
16.77592,81.89855,84.85,32.6,65.9,5446.4,14.03,140.9,Agricultural,Alluvial,4255.1,1,2,1
21.09336,85.58654,139.22,33.0,93.8,7751.5,18.0,70.5,Urban,Clay,9196.3,1,1,1
22.17401,74.26838,13.24,28.5,54.2,2181.8,6.12,282.9,Agricultural,Loam,11511.8,1,3,0
21.47345,85.62451,179.44,37.4,100.0,9420.6,18.0,75.7,Agricultural,Silt,1371.2,1,0,1
16.16424,75.53282,5.26,28.2,51.2,538.0,1.98,676.0,Forest,Silt,3081.1,0,0,0
26.45197,72.63864,2.07,35.1,51.4,112.3,0.5,154.0,Agricultural,Clay,6149.7,1,4,0
16.3203,81.50557,2.1,33.9,39.0,2467.2,4.34,47.6,Agricultural,Alluvial,9702.8,1,3,0
25.49248,74.28065,3.07,27.5,42.0,156.1,1.02,336.6,Urban,Alluvial,1291.5,0,3,0
16.53373,75.12172,2.11,27.5,44.1,237.4,1.37,535.7,Urban,Loam,5701.2,0,3,0
17.73985,79.57207,3.86,30.1,25.6,2612.6,4.78,94.5,Agricultural,Alluvial,9279.0,1,6,0
25.32004,87.11749,191.08,29.6,99.5,10589.0,18.0,90.4,Agricultural,Loam,2619.0,0,3,1
28.46925,77.51179,48.26,35.3,41.6,2707.1,8.38,227.1,Agricultural,Sandy,9563.8,0,0,1
25.28493,73.25369,0.43,28.3,33.3,157.0,0.2,195.4,Forest,Clay,9017.4,1,2,0
26.88109,91.2682,64.08,17.6,80.0,5240.0,12.56,76.7,Urban,Alluvial,2673.4,1,4,1
28.49385,72.42989,19.62,33.1,37.6,248.0,2.69,311.0,Urban,Alluvial,6447.5,0,1,0
9.55817,76.64575,5.63,30.3,25.3,2466.6,4.7,146.6,Forest,Silt,6930.0,0,3,0
17.87556,76.20893,4.26,17.6,37.9,481.3,1.68,601.9,Urban,Alluvial,10934.6,1,5,0
18.05392,80.06533,13.9,32.3,38.7,2200.1,6.25,66.8,Wetland,Clay,11649.2,0,6,0
28.74997,77.32509,34.49,28.1,63.1,2624.3,7.74,217.7,Urban,Silt,11451.8,0,1,0
28.87212,76.99669,71.75,31.2,58.8,4541.0,12.4,227.9,Water Body,Clay,5805.6,1,1,1
22.7552,77.47579,30.24,32.3,42.2,1872.4,5.05,160.5,Agricultural,Alluvial,3823.8,1,2,0
26.73379,94.02993,243.48,33.6,100.0,16666.4,18.0,116.6,Agricultural,Loam,10844.4,0,3,1
26.11451,73.03108,25.12,29.8,34.2,156.3,0.2,346.7,Agricultural,Alluvial,6693.6,0,2,0
26.16466,94.01086,52.75,27.1,27.8,5606.1,14.14,43.3,Urban,Silt,11780.0,0,2,1
25.96946,71.84283,2.54,28.7,51.3,196.0,0.2,277.8,Urban,Clay,4521.5,0,1,0
28.55447,76.80338,125.62,34.6,59.7,5287.1,13.71,226.0,Urban,Clay,7872.8,1,2,1
22.40435,74.57042,43.16,21.1,87.0,2917.4,8.74,218.8,Wetland,Silt,3470.5,1,1,1
28.72214,76.9868,79.62,26.4,67.7,4485.9,11.98,221.2,Forest,Silt,2725.9,1,1,1
27.49607,72.83787,21.2,35.5,30.8,107.0,1.12,330.5,Urban,Clay,3716.6,0,2,0
26.85319,73.2378,1.99,27.3,45.9,151.4,0.43,274.6,Forest,Alluvial,4086.3,0,4,0
25.61478,92.96847,12.01,27.3,42.7,3917.7,8.02,42.3,Agricultural,Loam,7665.8,0,0,0
25.1929,81.11269,206.64,26.4,100.0,11375.5,18.0,89.8,Agricultural,Clay,11502.2,1,2,1
22.51516,75.78773,37.85,26.3,31.3,2894.1,5.49,142.0,Urban,Sandy,6210.1,0,2,0
25.66377,71.41249,14.56,26.3,60.9,221.1,0.2,333.9,Water Body,Loam,6935.2,0,3,0
21.81311,77.91127,29.41,28.4,75.0,2234.1,4.83,142.7,Urban,Alluvial,483.2,0,1,0
25.62384,85.99698,17.98,19.3,61.1,5642.9,11.54,74.9,Agricultural,Alluvial,1073.5,1,7,1
25.25575,72.85739,5.44,23.5,50.0,211.9,0.84,327.2,Water Body,Alluvial,4533.9,1,0,0
25.69897,90.1246,68.56,29.5,78.3,7908.3,17.82,81.2,Forest,Clay,6368.8,0,3,1
26.59722,71.32174,1.97,32.7,41.8,183.0,1.73,191.6,Agricultural,Loam,4707.8,1,4,0
25.38181,81.84866,123.7,28.5,91.4,8343.3,18.0,65.5,Agricultural,Loam,9659.1,0,1,1
26.71531,82.2097,22.58,19.9,49.9,4505.2,8.81,54.0,Water Body,Clay,10588.7,0,1,1
25.73003,92.54898,76.15,30.6,64.1,9799.1,18.0,45.5,Water Body,Sandy,6244.3,1,0,1
10.60024,75.87201,0.43,23.4,63.1,1724.6,2.9,82.3,Agricultural,Loam,5763.1,1,0,0
25.30413,86.77134,97.11,38.3,94.5,6632.7,17.24,91.7,Agricultural,Silt,3982.8,1,4,1
28.89082,77.07358,47.17,28.6,71.2,2724.8,8.02,236.3,Forest,Clay,4658.5,1,0,0
29.0814,77.20725,58.33,27.9,79.8,3984.5,9.78,191.3,Agricultural,Alluvial,11294.7,1,5,1
28.5533,77.20137,102.5,27.1,81.6,4295.4,10.22,191.9,Agricultural,Clay,8720.8,0,5,1
26.2935,84.19785,42.28,36.7,41.6,3240.9,8.28,114.2,Wetland,Alluvial,3619.3,1,0,1
28.96758,76.96245,43.68,23.9,59.2,3611.7,7.47,239.3,Agricultural,Loam,3523.1,1,1,0
15.14575,76.28131,13.91,27.0,47.3,449.0,1.93,454.2,Wetland,Alluvial,11418.9,0,2,0
14.91395,77.34654,38.6,35.0,44.2,484.8,2.13,484.8,Forest,Alluvial,11096.6,0,2,0
26.8215,90.07599,22.36,23.2,29.3,8246.7,16.75,84.6,Agricultural,Alluvial,9108.0,1,1,1
20.99835,86.12937,15.02,27.8,59.5,3614.3,7.68,57.8,Agricultural,Loam,8118.4,1,1,0
20.93058,85.14033,1.54,27.6,33.2,2676.5,5.47,23.2,Urban,Alluvial,7731.0,1,3,0
19.94187,86.35146,120.23,27.9,90.2,6863.9,17.46,18.3,Agricultural,Sandy,6342.5,0,3,1
10.10156,76.51053,34.61,23.5,36.8,1891.6,4.78,92.9,Water Body,Alluvial,2841.4,0,6,0
28.51819,77.44885,120.36,31.5,71.4,5264.3,13.16,221.0,Forest,Alluvial,8105.4,1,4,1
25.71673,87.79143,19.53,35.3,31.5,5008.4,11.06,55.0,Agricultural,Loam,2509.8,0,5,1
20.56904,84.8064,79.2,29.0,79.0,6294.9,15.33,71.2,Agricultural,Clay,927.5,1,4,1
25.84458,92.33171,119.36,25.6,70.0,9715.4,18.0,59.5,Urban,Clay,1380.7,1,3,1
26.79655,90.23814,285.41,27.4,100.0,17166.6,18.0,128.0,Forest,Clay,5728.4,1,1,1
14.88858,75.4031,13.98,24.7,38.3,378.7,1.75,461.6,Forest,Alluvial,6337.2,1,0,0
19.02844,76.38753,10.14,32.2,47.4,328.5,0.41,546.9,Agricultural,Alluvial,2671.6,0,7,0
25.39285,82.44923,52.66,28.8,56.7,4129.8,10.71,116.1,Urban,Clay,1628.5,1,3,1
18.3347,80.14293,0.96,27.2,50.6,2368.4,4.68,87.8,Agricultural,Silt,696.3,0,0,0
26.33041,72.76398,16.27,24.1,60.8,161.9,0.39,290.9,Urban,Alluvial,684.2,1,6,0
18.38096,79.81267,25.02,30.6,44.1,3187.7,8.5,73.5,Agricultural,Alluvial,6843.9,1,3,0
17.21899,81.5742,24.19,22.6,55.0,2056.1,6.0,62.4,Urban,Clay,11066.5,0,1,0
21.80195,74.29584,122.48,30.3,92.4,3081.7,10.49,227.5,Wetland,Alluvial,9032.6,1,3,1
18.41909,81.04354,0.5,36.5,46.9,2873.2,5.96,170.0,Urban,Alluvial,5878.3,0,8,0
16.6482,79.71893,25.5,30.4,61.4,2481.9,6.62,147.3,Agricultural,Clay,3134.0,1,3,0
22.33222,76.98188,34.91,29.1,68.9,2894.5,7.64,79.8,Agricultural,Silt,5733.9,0,5,1
19.11765,76.87756,71.72,22.0,54.1,568.4,3.7,737.9,Forest,Alluvial,3410.1,1,1,0
10.9582,76.63334,117.62,31.8,86.9,3803.8,12.53,109.9,Wetland,Clay,683.8,0,0,1
24.9281,86.0081,19.32,31.3,27.3,4426.5,9.6,36.7,Agricultural,Alluvial,9430.2,0,3,1
18.47867,81.54331,55.16,30.6,69.9,3988.9,9.93,153.9,Agricultural,Loam,4958.1,1,8,1
20.69739,85.92621,11.77,23.5,47.2,2933.1,7.75,54.8,Water Body,Loam,8802.8,1,3,0
28.63927,77.79817,150.73,28.2,98.8,4961.7,14.33,231.3,Water Body,Loam,3139.6,0,2,1
20.74022,85.78835,22.06,31.0,35.9,3120.3,6.88,65.3,Forest,Alluvial,2123.6,0,7,0
25.26179,87.65286,55.37,29.8,56.4,4951.6,12.84,116.8,Water Body,Sandy,6871.1,1,1,1
20.05834,85.44438,53.85,30.3,76.6,3841.9,10.4,18.9,Urban,Alluvial,9927.2,1,1,1
22.24735,76.7479,63.56,22.6,88.5,2412.4,7.12,63.6,Water Body,Silt,5616.1,0,0,1
16.81639,79.83252,116.47,27.8,79.7,6060.8,16.24,81.1,Forest,Clay,2124.8,0,3,1
9.81795,75.93335,23.3,22.4,56.3,2094.6,3.85,116.2,Agricultural,Clay,3238.9,1,0,0
9.50143,76.58833,195.9,27.3,100.0,5716.2,16.33,196.3,Urban,Sandy,2067.9,1,0,1
26.69403,88.21612,34.52,26.6,62.3,5598.8,11.68,84.7,Forest,Silt,11558.3,1,0,1
25.96083,92.89265,54.39,34.4,72.2,6802.8,15.13,88.4,Agricultural,Alluvial,3136.5,0,9,1
26.13627,71.77618,4.53,35.5,53.8,197.2,1.87,299.8,Agricultural,Clay,6949.2,0,5,0
22.08885,76.3341,19.02,27.5,48.9,2602.4,5.89,301.7,Agricultural,Loam,10928.6,1,3,0
21.80738,76.73387,58.47,24.4,53.3,3030.0,8.3,318.1,Agricultural,Alluvial,3140.5,1,2,1
25.55198,86.11216,0.01,27.4,36.9,3224.5,7.94,64.9,Forest,Silt,10213.5,0,2,0
16.94056,79.61097,0.84,26.2,29.7,2608.0,5.31,99.3,Forest,Clay,10423.5,1,0,0
26.95297,74.2047,11.03,32.0,39.9,142.6,1.69,170.4,Urban,Alluvial,7605.2,0,1,0
26.05349,83.37979,70.26,29.1,71.6,4754.6,12.65,31.4,Water Body,Clay,3421.7,1,2,1
25.70676,87.47643,16.82,31.5,44.1,3961.5,7.48,65.4,Urban,Loam,11015.6,0,2,0
26.59892,71.03337,15.92,21.9,49.5,223.1,0.2,254.7,Agricultural,Alluvial,10201.4,1,1,0
