City Name,State,Latitude,Longitude,Elevation (m),Annual Rainfall (mm),Earthquake Frequency,Erosion Index,Mining Activity,Landslide Probability,Flood Probability,Temperature (°C)
Varanasi,Uttar Pradesh,23.423923,82.084304,896,4820.58,5,2.9,No,0.85,0.526,34
Srinagar,Jammu & Kashmir,15.596,86.660928,763,1657.96,1,6.2,Yes,0.848,0.997,18.9
Aurangabad,Maharashtra,22.483056,86.925439,1708,2515.34,5,1.7,Yes,0.898,0.777,14.5
Dhanbad,Jharkhand,21.049355,68.699279,2472,843.77,5,6.2,No,0.754,0.728,42.1
Mumbai,Maharashtra,18.837913,95.055263,579,4900.39,2,6.4,Yes,0.765,0.504,31.5
Delhi,Delhi,35.853288,92.950707,2939,2608.19,2,6.9,No,0.768,0.123,32.5
Bangalore,Karnataka,21.055973,93.222731,2638,4365.76,2,0.1,Yes,0.375,0.905,21.7
Hyderabad,Telangana,10.477422,76.7669,551,3881.93,5,2.6,Yes,0.334,0.698,38.9
Ahmedabad,Gujarat,10.696622,79.808312,2589,4097.96,3,2.3,Yes,0.557,0.758,21.6
Chennai,Tamil Nadu,9.749007,95.327845,575,962.36,3,6.9,No,0.796,0.79,44.3
Kolkata,West Bengal,21.216126,93.178662,92,509.03,5,6.5,No,0.034,0.932,31.9
Pune,Maharashtra,10.170422,68.666766,1536,4449.4,4,1.4,Yes,0.635,0.118,29.5
Jaipur,Rajasthan,20.808023,95.473024,1020,4015.46,2,8.1,Yes,0.163,0.506,43.3
Surat,Gujarat,19.157514,90.850244,814,1678.71,4,3.5,Yes,0.689,0.002,22
Lucknow,Uttar Pradesh,18.227643,90.828306,2533,1641.99,5,7.4,Yes,0.985,0.478,16.9
Kanpur,Uttar Pradesh,33.79529,85.230376,2369,1794.55,4,3.6,Yes,0.096,0.394,16.7
Nagpur,Maharashtra,13.010688,91.337627,1609,2229.89,3,7.5,No,0.779,0.678,24.3
Visakhapatnam,Andhra Pradesh,12.344025,76.173546,1800,2777.55,3,8.8,Yes,0.65,0.615,13.7
Bhopal,Madhya Pradesh,22.298821,83.161657,2774,3295.59,5,1.8,Yes,0.998,0.988,21.1
Patna,Bihar,24.335381,69.33367,451,3232.36,1,0.2,Yes,0.229,0.776,34.9
Vadodara,Gujarat,9.956624,68.828719,1570,1083.67,4,2.1,Yes,0.856,0.372,12.7
Ghaziabad,Uttar Pradesh,20.080184,82.903338,34,4869.15,4,0.5,Yes,0.974,0.124,21.6
Ludhiana,Punjab,10.860576,91.403074,2907,4214.4,1,0.8,Yes,0.382,0.6,28.6
Agra,Uttar Pradesh,15.908097,93.015975,401,2987.52,4,9.9,No,0.838,0.328,19.3
Nashik,Maharashtra,11.106922,89.170684,1337,4283.08,1,6.9,Yes,0.271,0.66,11.1
Faridabad,Haryana,24.068514,74.210088,2635,4367.47,4,9.1,Yes,0.503,0.182,30.6
Meerut,Uttar Pradesh,29.990786,86.542117,1280,1702.51,2,3.4,No,0.243,0.67,19.7
Rajkot,Gujarat,23.066131,84.8132,1744,3710.14,5,1,Yes,0.534,0.742,35.3
Kalyan,Maharashtra,19.231521,74.376706,276,1643.07,4,5,No,0.407,0.978,18.9
Vasai-Virar,Maharashtra,31.750619,73.884155,1170,2882.45,2,1.5,Yes,0.087,0.226,17.4
Varanasi,Uttar Pradesh,23.423923,82.084304,896,4820.58,5,2.9,No,0.85,0.526,34
Srinagar,Jammu & Kashmir,15.596,86.660928,763,1657.96,1,6.2,Yes,0.848,0.997,18.9
Aurangabad,Maharashtra,22.483056,86.925439,1708,2515.34,5,1.7,Yes,0.898,0.777,14.5
Dhanbad,Jharkhand,21.049355,68.699279,2472,843.77,5,6.2,No,0.754,0.728,42.1
Mumbai,Maharashtra,18.837913,95.055263,579,4900.39,2,6.4,Yes,0.765,0.504,31.5
Delhi,Delhi,35.853288,92.950707,2939,2608.19,2,6.9,No,0.768,0.123,32.5
Bangalore,Karnataka,21.055973,93.222731,2638,4365.76,2,0.1,Yes,0.375,0.905,21.7
Hyderabad,Telangana,10.477422,76.7669,551,3881.93,5,2.6,Yes,0.334,0.698,38.9
Ahmedabad,Gujarat,10.696622,79.808312,2589,4097.96,3,2.3,Yes,0.557,0.758,21.6
Chennai,Tamil Nadu,9.749007,95.327845,575,962.36,3,6.9,No,0.796,0.79,44.3
Kolkata,West Bengal,21.216126,93.178662,92,509.03,5,6.5,No,0.034,0.932,31.9
Pune,Maharashtra,10.170422,68.666766,1536,4449.4,4,1.4,Yes,0.635,0.118,29.5
Jaipur,Rajasthan,20.808023,95.473024,1020,4015.46,2,8.1,Yes,0.163,0.506,43.3
Surat,Gujarat,19.157514,90.850244,814,1678.71,4,3.5,Yes,0.689,0.002,22
Lucknow,Uttar Pradesh,18.227643,90.828306,2533,1641.99,5,7.4,Yes,0.985,0.478,16.9
Kanpur,Uttar Pradesh,33.79529,85.230376,2369,1794.55,4,3.6,Yes,0.096,0.394,16.7
Nagpur,Maharashtra,13.010688,91.337627,1609,2229.89,3,7.5,No,0.779,0.678,24.3
Visakhapatnam,Andhra Pradesh,12.344025,76.173546,1800,2777.55,3,8.8,Yes,0.65,0.615,13.7
Bhopal,Madhya Pradesh,22.298821,83.161657,2774,3295.59,5,1.8,Yes,0.998,0.988,21.1
Patna,Bihar,24.335381,69.33367,451,3232.36,1,0.2,Yes,0.229,0.776,34.9
Vadodara,Gujarat,9.956624,68.828719,1570,1083.67,4,2.1,Yes,0.856,0.372,12.7
Ghaziabad,Uttar Pradesh,20.080184,82.903338,34,4869.15,4,0.5,Yes,0.974,0.124,21.6
Ludhiana,Punjab,10.860576,91.403074,2907,4214.4,1,0.8,Yes,0.382,0.6,28.6
Agra,Uttar Pradesh,15.908097,93.015975,401,2987.52,4,9.9,No,0.838,0.328,19.3
Nashik,Maharashtra,11.106922,89.170684,1337,4283.08,1,6.9,Yes,0.271,0.66,11.1
Faridabad,Haryana,24.068514,74.210088,2635,4367.47,4,9.1,Yes,0.503,0.182,30.6
Meerut,Uttar Pradesh,29.990786,86.542117,1280,1702.51,2,3.4,No,0.243,0.67,19.7
Rajkot,Gujarat,23.066131,84.8132,1744,3710.14,5,1,Yes,0.534,0.742,35.3
Kalyan,Maharashtra,19.231521,74.376706,276,1643.07,4,5,No,0.407,0.978,18.9
Vasai-Virar,Maharashtra,31.750619,73.884155,1170,2882.45,2,1.5,Yes,0.087,0.226,17.4
Varanasi,Uttar Pradesh,23.423923,82.084304,896,4820.58,5,2.9,No,0.85,0.526,34
Srinagar,Jammu & Kashmir,15.596,86.660928,763,1657.96,1,6.2,Yes,0.848,0.997,18.9
Aurangabad,Maharashtra,22.483056,86.925439,1708,2515.34,5,1.7,Yes,0.898,0.777,14.5
Dhanbad,Jharkhand,21.049355,68.699279,2472,843.77,5,6.2,No,0.754,0.728,42.1
Surat,Gujarat,10.177525,77.137838,1663,2411.58,2,6.7,Yes,0.003,0.285,16.2
